Name,ConflictStatus,Story Count,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines,Eric,Melania,Junior
Trump Marks Sunny Isles II,Active,1,,,Approved,,http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,"458,457",,,
Toronto Development,Active,1,,,Approved,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,291,,,
Getty Images,Unclear,1,The first lady earned six figures from an agreement with Getty Images that paid royalties to the Trumps and mandated photos be used in positive coverage.,,Approved,"NOTE: this isn't connected to a biz entity but it IS connected to a story so I need to correct the story link first, then delete this record. ",https://www.nbcnews.com/politics/donald-trump/news-media-paid-melania-trump-thousands-use-photos-positive-stories-n883111,,,,
Pine Hill Development,Active,0,,,Approved,,,"199,198,1452,1453",,,
C-III Capital Partners,Resolved,0,,,Approved,connected to record w/ no ID,,"805,Unnamed record",,,
DT Connect II,Active,0,,,Approved,,,"71,70",,,
Cherry Pines Apartments,Active,0,,,Approved,,,"829,828",,,
Wilshire Hall,Active,0,,,Approved,,,560,,,
University of Texas,Resolved,0,,,Approved,connected to record w/ no ID,,"Unnamed record,Unnamed record",,,
Trump Realty Services (Formerly Trump Mortgage Services Or Tower Mortgage Services),Active,0,,,Approved,,,508,,,
Nuveen (TIAA),Active,0,,,Approved,,,"1389,1388",,,
Regal Bank,Resolved,0,,,Approved,,,"1489,1490",,,
K Stonehage Village 1 Associates,Active,0,,,Approved,connected to unnamed record,,"1159,978,979,980,981,1160,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,980 copy",,,
Donald J Trump Enterprises II,Active,0,,,to correct,,,,,,
The Art Of The Comeback,Active,0,,,Approved,,,266,,,
U.S. money market,Unclear,0,,"Is this the Conflicting Entity named U.S. money market account #1 (cash)?

If so, it's status is Resolved.
",to correct,,,,,,
California St Dept of Wtr Resources Pwr Sply Revenue Ser M,Unclear,0,,,to correct,,,,,,
The America We Deserve,Active,0,,,Approved,,,265,,,
Apollo Management,Unclear,1,,,Approved,"NOTE: this isn't connected to a biz entity but it IS connected to a story so I need to correct the story link first, then delete this record. ",https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,,,,
Iroquois Properties,Active,0,,,Approved,connected to record w/ no ID,,"1057,1058,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
Valley National Bank,Active,0,,,Approved,connected to record w/ no ID,,Unnamed record,,,
Trump On The Ocean LLC,Unclear,0,,status missing,Approved,,,487,,,
HWA 1290 Ill,Active,0,,,Approved,,,159,,,
Miss Universe (Formerly Trump Pageants),Active,1,,,Approved,,https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html?utm_term=.58393114f26e,178,,,
Proctor & Gamble,Unclear,1,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,Approved,"NOTE: this isn't connected to a biz entity but it IS connected to a story so I need to correct the story link first, then delete this record. ",https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,
Stephanie Clifford (Aka Stormy Daniels),Unclear,5,"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",,Approved,"NOTE: this isn't connected to a biz entity but it IS connected to a story so I need to correct the story link first, then delete this record. ","https://nypost.com/2018/03/05/bank-reported-trump-lawyers-payment-to-stormy-daniels-as-suspicious/,https://www.cnn.com/2018/03/08/opinions/stormy-daniels-trump-lawsuit-could-be-trouble-rangappa-opinion/index.html,https://www.washingtonpost.com/politics/in-new-financial-disclosure-trump-reports-apparent-payment-through-his-personal-attorney-to-adult-film-star/2018/05/16/cf6171f2-592c-11e8-b656-a5f8c2a9295d_story.html?noredirect=on&utm_term=.ded1e82e4416,https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html,https://www.washingtonpost.com/politics/prosecutors-cancel-meeting-with-stormy-daniels/2018/06/25/ff69bdb2-7887-11e8-8df3-007495a78738_story.html?utm_term=.5773519d5874",,,,
Trump Follies,Active,0,,,Approved,,,"352,351",,,
Trump Sales & Leasing Chicago,Active,0,,,Approved,,,"514,515",,,
Trump Marks White Plains,Active,0,,,Approved,,,"467,468",,,
Warren At Bay Associates,Active,1,,,Approved,connected to record w/ no ID,https://www.nj.com/news/index.ssf/2018/08/a_failed_new_york_investment_by_jared_kushner_gets.html,"Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record,Unnamed record",,,
THC Services Shenzhen,Active,0,,,Approved,,,"255,254,1593,1594",,,
