Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
"Former director/chairman/president of DT Marks Dubai II Member Corp. The company's current ownership structure is unclear. As of Trump's 2016 financial disclosure, the company was owned by Donald J. Trump, but was dormant or inactive. Neither its current status nor its current ownership structure were reported in 2017.",Donald Trump,DT Marks Dubai II Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
"Former member/president of DT Marks Dubai LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Dubai LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Dubai Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Dubai Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Gurgaon LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Gurgaon LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Gurgaon Managing Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Gurgaon Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Jersey City LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Jersey City LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Jupiter LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Jupiter LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Lido LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Lido LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Lido Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Lido Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Products International LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Products International LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Products International Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Products International Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive DT Marks Pune II LLC, of which Pres. Trump retains an ownership stake.",Donald Trump,DT Marks Pune II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of the now-dormant or inactive DT Marks Pune II Managing Member Corp., of which Pres. Trump retains an ownership stake.",Donald Trump,DT Marks Pune II Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Pune LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Pune LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Pune Managing Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Pune Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Qatar LLC. The company reportedly was dissolved on Jan. 26, 2017.",Donald Trump,DT Marks Qatar LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former director/chairman/president of DT Marks Qatar Member Corp. The company reportedly was dissolved on Jan. 26, 2017.",Donald Trump,DT Marks Qatar Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former director/chairman/president of DT Marks Rio LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,DT Marks Rio LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of the now-dormant or inactive DT Marks Rio Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Rio Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former partner/president of DT Marks Vancouver LP, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Vancouver LP,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Vancouver Manager Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Marks Vancouver Manager Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Worli LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Worli LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Worli Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Marks Worli Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Tower Gurgaon LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower Gurgaon LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Tower Gurgaon Managing Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower Gurgaon Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Tower I LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Tower I Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of DT Tower II LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Tower II Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Tower II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Tower Kolkata LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,DT Tower Kolkata LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Tower Kolkata Managing Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DT Tower Kolkata Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of DT Venture I LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of the now-dormant or inactive DT Venture I Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of DT Venture II LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of the now-dormant or inactive DT Venture II Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Venture II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DTTM Operations LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DTTM Operations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DTTM Operations Managing Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DTTM Operations Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member of DTW Venture LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DTW Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/president of DTW Venture Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DTW Venture Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/director of the now-dormant or inactive EID Venture I Corporation, of which Pres. Trump retains an ownership interest.",Donald Trump,EID Venture I Corporation,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member of the now-dormant or inactive EID Venture I LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,EID Venture I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of EID Venture II LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provide back office support functions to other entities. ",Donald Trump,EID Venture II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of EID Venture II Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provide back office support functions to other entities.",Donald Trump,EID Venture II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of Excel Venture I Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Excel Venture I Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/secretary/treasurer/member of Excel Venture I LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,Excel Venture I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman of Fifty Seven Management Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Fifty Seven Management Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of Fifty Seventh Street Associates LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,Fifty Seventh Street Associates LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of First Member, Inc., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"First Member, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president/treasurer/director of Flights Inc. (F/K/A Trump Flights Inc.), of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and not part of an entity structure or license deal.",Donald Trump,Flights Inc. (F/K/A Trump Flights Inc.),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
