Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
"Former president of DT Bali Hotel Manager LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Bali Hotel Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Hotel Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Bali Technical Services Manager LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,DT Bali Technical Services Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Bali Technical Services Manager Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Bali Technical Services Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director of DT Connect Europe Limited, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Connect Europe Limited,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
Former member/president of DT Connect II LLC. The company's sole underlying assets are reported as aircraft. Trump retains ownership through The Donald J. Trump Revocable Trust.,Donald Trump,DT Connect II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Connect II Member Corp. Trump retains ownership through The Donald J. Trump Revocable Trust. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DT Connect II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Connect LLC. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Connect LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former director/chairman/president of DT Connect Managing Member Corp. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Connect Managing Member Corp. ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former member/president of DT Dubai Golf Manager LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Dubai Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Dubai Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of the other entity structures. ",Donald Trump,DT Dubai Golf Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Dubai II Golf Manager LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Dubai II Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Dubai II Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of the other entity structures. ",Donald Trump,DT Dubai II Golf Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of DT Endeavor I LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,DT Endeavor I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of the now-dormant or inactive DT Endeavor I Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Endeavor I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Home Marks International LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,DT Home Marks International LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Home Marks International Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Home Marks International Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive DT India Venture LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT India Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of the now-dormant or inactive DT India Venture Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT India Venture Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Jeddah Technical Services Advisor LLC. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Jeddah Technical Services Advisor LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former director/chairman/president of DT Jeddah Technical Services Advisor Member Corp. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Jeddah Technical Services Advisor Member Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
"Former member/president of DT Jeddah Technical Services Manager LLC, which reportedly was dissolved on Nov. 15, 2016. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Jeddah Technical Services Manager LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former director/chairman/president of DT Jeddah Technical Services Manager Member Corp., which was dissolved on Nov. 15, 2016. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Jeddah Technical Services Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
"Former president of DT Lido Golf Manager LLC, of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Lido Golf Manager Member Corp., of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Golf Manager Member Corp/,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former president of DT Lido Hotel Manager LLC, of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Lido Hotel Manager Member Corp., of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Hotel Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Lido Technical Services Manager LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Lido Technical Services Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Lido Technical Services Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Lido Technical Services Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of the now-dormant or inactive DT Marks Baku LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Baku LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Baku Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Baku Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Bali LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Bali LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former director/chairman/president of DT Marks Bali Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Bali Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
"Former member/president of DT Marks Dubai II LLC. As of Trump's 2016 financial disclosure, the company was owned by Donald J. Trump, but was dormant or inactive. Neither its current status nor its current ownership structure were reported in 2017.",Donald Trump,DT Marks Dubai II LLC,Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
